"COLLEGE, CAREER & CIVIC LIFE C3 FRAMEWORK",,,,
,,,,
Dimension 1,,,,
,Constructing Compelling Questions,,,
,BY THE END OF GRADE 2*,BY THE END OF GRADE 5*,BY THE END OF GRADE 8,BY THE END OF GRADE 12
,"INDIVIDUALLY AND WITH OTHERS, STUDENTS CONSTRUCT COMPELLING QUESTIONS, AND …",,,
,D1.1.K-2. Explain why the compelling question is im- portant to the student.,"D1.1.3-5. Explain why compel- ling questions are important to others (e.g., peers, adults).",D1.1.6-8. Explain how a ques- tion represents key ideas in the field.,D1.1.9-12. Explain how a ques- tion reflects an enduring issue in the field.
,D1.2.K-2. Identify disciplinary ideas associated with a com- pelling question.,D1.2.3-5. Identify disciplinary concepts and ideas associat- ed with a compelling question that are open to different interpretations.,D1.2.6-8. Explain points of agreement experts have about interpretations and ap- plications of disciplinary con- cepts and ideas associated with a compelling question.,D1.2.9-12. Explain points of agreement and disagreement experts have about inter- pretations and applications of disciplinary concepts and ideas associated with a com- pelling question.
,,,,
,Constructing Supporting Questions,,,
,BY THE END OF GRADE 2*,BY THE END OF GRADE 5*,BY THE END OF GRADE 8,BY THE END OF GRADE 12
,"INDIVIDUALLY AND WITH OTHERS, STUDENTS CONSTRUCT SUPPORTING QUESTIONS, AND …",,,
,D1.3.K-2. Identify facts and concepts associated with a supporting question.,D1.3.3-5. Identify the disci- plinary concepts and ideas associated with a supporting question that are open to interpretation.,D1.3.6-8. Explain points of agreement experts have about interpretations and ap- plications of disciplinary con- cepts and ideas associated with a supporting question.,D1.3.9-12. Explain points of agreement and disagreement experts have about inter- pretations and applications of disciplinary concepts and ideas associated with a sup- porting question.
,,,,
,D1.4.K-2. Make connec- tions between supporting questions and compelling questions.,D1.4.3-5. Explain how supporting questions help answer compelling questions in an inquiry.,D1.4.6-8. Explain how the rela- tionship between supporting questions and compelling questions is mutually reinforcing.,"D1.4.9-12. Explain how supporting questions con- tribute to an inquiry and how, through engaging source work, new compelling and supporting questions emerge."
,,,,
Dimension 2,,,,
,Civics,,,
,Civic and Political Institutions,,,
