"code","set","dim","grade","statement","dimension","orig_dimension","orig_dim","subject","link","code2","subcategory","subcat","PEcode","performanceExpectation","clarifyingStatement","assessmentBoundary","goal"
"D1.1.3-5","C3","DQPI","3,4,5","Explain why compelling questions are important to others (e.g., peers, adults).","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.1.6-8","C3","DQPI","6,7,8","Explain how a question represents key ideas in the field.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.1.9-12","C3","DQPI","9,10,11,12","Explain how a question reflects an enduring issue in the field.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.1.K-2","C3","DQPI","K,1,2","Explain why the compelling question is important to the student.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.2.3-5","C3","DQPI","3,4,5","Identify disciplinary concepts and ideas associated with a compelling question that are open to different interpretations.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.2.6-8","C3","DQPI","6,7,8","Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.2.9-12","C3","DQPI","9,10,11,12","Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.2.K-2","C3","DQPI","K,1,2","Identify disciplinary ideas associated with a compelling question.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.3.3-5","C3","DQPI","3,4,5","Identify the disciplinary concepts and ideas associated with a supporting question that are open to interpretation.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.3.6-8","C3","DQPI","6,7,8","Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.3.9-12","C3","DQPI","9,10,11,12","Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.3.K-2","C3","DQPI","K,1,2","Identify facts and concepts associated with a supporting question.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.4.3-5","C3","DQPI","3,4,5","Explain how supporting questions help answer compelling questions in an inquiry.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.4.6-8","C3","DQPI","6,7,8","Explain how the relationship between supporting questions and compelling questions is mutually reinforcing.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.4.9-12","C3","DQPI","9,10,11,12","Explain how supporting questions contribute to an inquiry and how, through engaging source work, new compelling and supporting questions emerge.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.4.K-2","C3","DQPI","K,1,2","Make connections between supporting questions and compelling questions.","Developing Questions & Planning Inquiries","Developing Questions & Planning Inquiries","DQPI","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.1.3-5","C3","CEGH","3,4,5","Distinguish the responsibilities and powers of government officials at various levels and branches of government and in different times and places.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.1.6-8","C3","CEGH","6,7,8","Distinguish the powers and responsibilities of citizens, political parties, interest groups, and the media in a variety of governmental and nongovernmental contexts.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.1.9-12","C3","CEGH","9,10,11,12","Distinguish the powers and responsibilities of local, state, tribal, national, and international civic and political institutions.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.1.K-2","C3","CEGH","K,1,2","Describe roles and responsibilities of people in authority.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.10.3-5","C3","CEGH","3,4,5","Identify the beliefs, experiences, perspectives, and values that underlie their own and others’ points of view about civic issues.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.10.6-8","C3","CEGH","6,7,8","Explain the relevance of personal interests and perspectives, civic virtues, and democratic principles when people address issues and problems in government and civil society.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.10.9-12","C3","CEGH","9,10,11,12","Analyze the impact and the appropriate roles of personal interests and perspectives on the application of civic virtues, democratic principles, constitutional rights, and human rights.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.10.K-2","C3","CEGH","K,1,2","Compare their own point of view with others’ perspectives.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.11.3-5","C3","CEGH","3,4,5","Compare procedures for making decisions in a variety of settings, including classroom, school, government, and/or society.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.11.6-8","C3","CEGH","6,7,8","Differentiate among procedures for making decisions in the classroom, school, civil society, and local, state, and national government in terms of how civic purposes are intended.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.11.9-12","C3","CEGH","9,10,11,12","Evaluate multiple procedures for making governmental decisions at the local, state, national, and international levels in terms of the civic purposes achieved.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.11.K-2","C3","CEGH","K,1,2","Explain how people can work together to make decisions in the classroom.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.12.3-5","C3","CEGH","3,4,5","Explain how rules and laws change society and how people change rules and laws.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.12.6-8","C3","CEGH","6,7,8","Assess specific rules and laws (both actual and proposed) as means of addressing public problems.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.12.9-12","C3","CEGH","9,10,11,12","Analyze how people use and challenge local, state, national, and international laws to address a variety of public issues.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.12.K-2","C3","CEGH","K,1,2","Identify and explain how rules function in public (classroom and school) settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.13.3-5","C3","CEGH","3,4,5","Explain how policies are developed to address public problems.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.13.6-8","C3","CEGH","6,7,8","Analyze the purposes, implementation, and consequences of public policies in multiple settings.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.13.9-12","C3","CEGH","9,10,11,12","Evaluate public policies in terms of intended and unintended outcomes, and related consequences.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.14.3-5","C3","CEGH","3,4,5","Illustrate historical and contemporary means of changing society.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.14.6-8","C3","CEGH","6,7,8","Compare historical and contemporary means of changing societies, and promoting the common good.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.14.9-12","C3","CEGH","9,10,11,12","Analyze historical, contemporary, and emerging means of changing societies, promoting the common good, and protecting rights.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D2.Civ.14.K-2","C3","CEGH","K,1,2","Describe how people have tried to improve their communities over time.","Civics, Economics, Geography & History","Applying Disciplinary Concepts & Tools","ADCT","Social Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA
