"grade","dimension","dim","code","statement","link","orig_dimension","orig_dim"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.L.1","Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.","http://corestandards.org/ELA-Literacy/CCRA/L/1/","Language","L"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.L.2","Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.","http://corestandards.org/ELA-Literacy/CCRA/L/2/","Language","L"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.L.3","Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.","http://corestandards.org/ELA-Literacy/CCRA/L/3/","Language","L"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.L.4","Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.","http://corestandards.org/ELA-Literacy/CCRA/L/4/","Language","L"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.L.5","Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.","http://corestandards.org/ELA-Literacy/CCRA/L/5/","Language","L"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Language, Speaking & Listening","LS&L","CCRA.L.6","Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.","http://corestandards.org/ELA-Literacy/CCRA/L/6/","Language","L"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.1","Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.","http://corestandards.org/ELA-Literacy/CCRA/R/1/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.2","Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.","http://corestandards.org/ELA-Literacy/CCRA/R/2/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.3","Analyze how and why individuals, events, or ideas develop and interact over the course of a text.","http://corestandards.org/ELA-Literacy/CCRA/R/3/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.4","Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.","http://corestandards.org/ELA-Literacy/CCRA/R/4/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.5","Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.","http://corestandards.org/ELA-Literacy/CCRA/R/5/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.6","Assess how point of view or purpose shapes the content and style of a text.","http://corestandards.org/ELA-Literacy/CCRA/R/6/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.7","Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.<sup>1</sup>","http://corestandards.org/ELA-Literacy/CCRA/R/7/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.8","Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.","http://corestandards.org/ELA-Literacy/CCRA/R/8/","Reading","R"
"K,1,2,3,4,5,6,7,8,9,10,11,12","Reading","R","CCRA.R.9","Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.","http://corestandards.org/ELA-Literacy/CCRA/R/9/","Reading","R"
