"grade","dimension","dim","code","statement","link","orig_dimension","orig_dim","code2"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.A.1","Count to 100 by ones and by tens.","http://corestandards.org/Math/Content/K/CC/A/1/","Counting & Cardinality","CC","CC.A.1"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.A.2","Count forward beginning from a given number within the known sequence (instead of having to begin at 1).","http://corestandards.org/Math/Content/K/CC/A/2/","Counting & Cardinality","CC","CC.A.2"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.A.3","Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).","http://corestandards.org/Math/Content/K/CC/A/3/","Counting & Cardinality","CC","CC.A.3"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.B.4","Understand the relationship between numbers and quantities; connect counting to cardinality.","http://corestandards.org/Math/Content/K/CC/B/4/","Counting & Cardinality","CC","CC.B.4"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.B.4a","When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.","http://corestandards.org/Math/Content/K/CC/B/4/a/","Counting & Cardinality","CC","CC.B.4a"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.B.4b","Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.","http://corestandards.org/Math/Content/K/CC/B/4/b/","Counting & Cardinality","CC","CC.B.4b"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.B.4c","Understand that each successive number name refers to a quantity that is one larger.","http://corestandards.org/Math/Content/K/CC/B/4/c/","Counting & Cardinality","CC","CC.B.4c"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.B.5","Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects.","http://corestandards.org/Math/Content/K/CC/B/5/","Counting & Cardinality","CC","CC.B.5"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.C.6","Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.<sup>1</sup>","http://corestandards.org/Math/Content/K/CC/C/6/","Counting & Cardinality","CC","CC.C.6"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.CC.C.7","Compare two numbers between 1 and 10 presented as written numerals.","http://corestandards.org/Math/Content/K/CC/C/7/","Counting & Cardinality","CC","CC.C.7"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.G.A.1","Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as <i>above</i>, <i>below</i>, <i>beside</i>, <i>in front of</i>, <i>behind</i>, and <i>next to</i>.","http://corestandards.org/Math/Content/K/G/A/1/","Geometry","G","G.A.1"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.G.A.2","Correctly name shapes regardless of their orientations or overall size.","http://corestandards.org/Math/Content/K/G/A/2/","Geometry","G","G.A.2"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.G.A.3","Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"").","http://corestandards.org/Math/Content/K/G/A/3/","Geometry","G","G.A.3"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.G.B.4","Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length).","http://corestandards.org/Math/Content/K/G/B/4/","Geometry","G","G.B.4"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.G.B.5","Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.","http://corestandards.org/Math/Content/K/G/B/5/","Geometry","G","G.B.5"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.G.B.6","Compose simple shapes to form larger shapes. <i>For example, ""Can you join these two triangles with full sides touching to make a rectangle</i>?""","http://corestandards.org/Math/Content/K/G/B/6/","Geometry","G","G.B.6"
"K","Measurement, Data, Probability & Statistics","MDP&S","K.MD.A.1","Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.","http://corestandards.org/Math/Content/K/MD/A/1/","Measurement & Data","MD","MD.A.1"
"K","Measurement, Data, Probability & Statistics","MDP&S","K.MD.A.2","Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. <i>For example, directly compare the heights of two children and describe one child as taller/shorter</i>.","http://corestandards.org/Math/Content/K/MD/A/2/","Measurement & Data","MD","MD.A.2"
"K","Measurement, Data, Probability & Statistics","MDP&S","K.MD.B.3","Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.<sup>1</sup>","http://corestandards.org/Math/Content/K/MD/B/3/","Measurement & Data","MD","MD.B.3"
"K","Number Systems, Operations & Abstract Representation","NSO&AR","K.NBT.A.1","Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.","http://corestandards.org/Math/Content/K/NBT/A/1/","Numbers & Operations Base 10","NBT","NBT.A.1"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.OA.A.1","Represent addition and subtraction with objects, fingers, mental images, drawings<sup>1</sup>, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.","http://corestandards.org/Math/Content/K/OA/A/1/","Operations & Algebraic Thinking","OA","OA.A.1"
"K","Algebra, Geometry, Trig, Calculus & Higher Level Thinking","AGTC&HLT","K.OA.A.2","Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.","http://corestandards.org/Math/Content/K/OA/A/2/","Operations & Algebraic Thinking","OA","OA.A.2"
