grade,dimension,dim,subcategory,subcat,code,statement,PEcode,performanceExpectation,clarifyingStatement,assessmentBoundary
"k,1,2",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-P1,Ask questions based on observations to find more information about the natural and/or designed world(s).,,,,
"k,1,2",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-P2,Ask and/or identify questions that can be answered by an investigation.,,,,
"k,1,2",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-P3,Define a simple problem that can be solved through the development of a new or improved object or tool.,,,,
"3,4,5",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-E1,Ask questions about what would happen if a variable is changed.,,,,
"3,4,5",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-E2,Identify scientific (testable) and non-scientific (non-testable) questions.,,,,
"3,4,5",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-E3,Ask questions that can be investigated and predict reasonable outcomes based on patterns such as cause and effect relationships.,,,,
"3,4,5",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-E4,Use prior knowledge to describe problems that can be solved.,,,,
"3,4,5",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-E5,"Define a simple design problem that can be solved through the development of an object, tool, process, or system and includes several criteria for success and constraints on materials, time, or cost.",,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M1,"Ask questions that arise from careful observation of phenomena, models, or unexpected results, to clarify and/or seek additional information.",,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M2,Ask questions to identify and/or clarify evidence and/or the premise(s) of an argument.,,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M3,Ask questions to determine relationships between independent and dependent variables and relationships in models.,,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M4,"Ask questions to clarify and/or refine a model, an explanation, or an engineering problem.",,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M5,Ask questions that require sufficient and appropriate empirical evidence to answer.,,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M6,"Ask questions that can be investigated within the scope of the classroom, outdoor environment, and museums and other public facilities with available resources and, when appropriate, frame a hypothesis based on observations and scientific principles.",,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M7,Ask questions that challenge the premise(s) of an argument or the interpretation of a data set.,,,,
"6,7,8",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-M8,"Define a design problem that can be solved through the development of an object, tool, process or system and includes multiple criteria and constraints, including scientific knowledge that may limit possible solutions.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H1,"Ask questions that arise from careful observation of phenomena, or unexpected results, to clarify and/or seek additional information.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H2,"Ask questions that arise from examining models or a theory, to clarify and/or seek additional information and relationships.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H3,"Ask questions to determine relationships, including quantitative relationships, between independent and dependent variables.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H4,"Ask questions to clarify and refine a model, an explanation, or an engineering problem.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H5,Evaluate a question to determine if it is testable and relevant.,,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H6,"Ask questions that can be investigated within the scope of the school laboratory, research facilities, or field (e.g., outdoor environment) with available resources and, when appropriate, frame a hypothesis based on a model or theory.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H7,"Ask and/or evaluate questions that challenge the premise(s) of an argument, the interpretation of a data set, or the suitability of the design.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H8,"Define a design problem that involves the development of a process or system with interacting components and criteria and constraints that may include social, technical and/or environmental considerations.",,,,
"9,10,11,12",Science & Engineering Practices,SEP,Ask Questions & Define Problems,AQDP,AQDP-H9,Analyze complex real-world problems by specifying criteria and constraints for successful solutions.,,,,
"k,1,2",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-P1,"Distinguish between a model and the actual object, process, and/or events the model represents.",,,,
"k,1,2",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-P2,Compare models to identify common features and differences.,,,,
"k,1,2",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-P3,"Develop and/or use a model to represent amounts, relationships, relative scales (bigger, smaller), and/or patterns in the natural and designed world(s).",,,,
"k,1,2",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-P4,Develop a simple model based on evidence to represent a proposed object or tool.,,,,
"3,4,5",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-E1,Identify limitations of models.,,,,
"3,4,5",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-E2,Collaboratively develop and/or revise a model based on evidence that shows the relationships among variables for frequent and regular occurring events.,,,,
"3,4,5",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-E3,"Develop a model using an analogy, example, or abstract representation to describe a scientific principle or design solution.",,,,
"3,4,5",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-E4,Develop and/or use models to describe and/or predict phenomena.,,,,
"3,4,5",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-E5,"Develop a diagram or simple physical prototype to convey a proposed object, tool, or process.",,,,
"3,4,5",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-E6,Use a model to test cause and effect relationships or interactions concerning the functioning of a natural or designed system.,,,,
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M1,Evaluate limitations of a model for a proposed object or tool.,,,,
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M2,Develop or modify a model– based on evidence–to match what happens if a variable or component of a system is changed.,,,,
"6,7,8",Science & Engineering Practices,SEP,Developing & Using Models,MOD,MOD-M3,Use and/or develop a model of simple systems with uncertain and less predictable factors.,,,,
