code,grade,,dimension0,dimension,
K.CC.A.1,K,Counting & Cardinality,Counting & Cardinality,"Number Systems, Operations & Abstract Representation","Number Systems, Operations & Abstract Representation"
K.G.A.1,K,Geometry,Geometry,"Algebra, Geometry, Trig, Calculus & Higher Level Thinking","Measurement, Data, Probability & Statistics"
K.MD.A.1,K,Measurement & Data,Measurement & Data,"Measurement, Data, Probability & Statistics","Algebra, Geometry, Trig, Calculus & Higher Level Thinking & Higher Level Thinking"
K.NBT.A.1,K,Numbers & Operations Base 10,Numbers & Operations Base 10,"Number Systems, Operations & Abstract Representation",
K.OA.A.1,K,Operations & Algebraic Thinking,Operations & Algebraic Thinking,"Algebra, Geometry, Trig, Calculus & Higher Level Thinking",
1.G.A.1,1,Geometry,Number & Operations_Fractions,"Number Systems, Operations & Abstract Representation",
1.MD.A.1,1,Measurement & Data,Expressions & Equations,"Algebra, Geometry, Trig, Calculus & Higher Level Thinking",
1.NBT.A.1,1,Numbers & Operations Base 10,Number System,"Number Systems, Operations & Abstract Representation",
1.OA.A.1,1,Operations & Algebraic Thinking,Ratios & Proportions,"Number Systems, Operations & Abstract Representation",
2.MD.A.1,2,Measurement & Data,Statistics & Probability,"Measurement, Data, Probability & Statistics",
2.MD.A.2,2,Measurement & Data,Functions,"Algebra, Geometry, Trig, Calculus & Higher Level Thinking",
2.MD.A.3,2,Measurement & Data,Arithmetic with Polynomials & Rational Expressions,"Number Systems, Operations & Abstract Representation",
2.MD.A.4,2,Measurement & Data,Creating Equations,"Number Systems, Operations & Abstract Representation",
2.MD.B.5,2,Measurement & Data,Reasoning with Equations & Inequalities,"Algebra, Geometry, Trig, Calculus & Higher Level Thinking",
2.MD.B.6,2,Measurement & Data,Seeing Structure in Expressions,"Number Systems, Operations & Abstract Representation",
2.MD.C.7,2,Measurement & Data,Building Functions,"Number Systems, Operations & Abstract Representation",
2.MD.C.8,2,Measurement & Data,Interpreting Functions,"Algebra, Geometry, Trig, Calculus & Higher Level Thinking",
2.MD.D.9,2,Measurement & Data,"Linear, Quadratic & Exponential Models","Algebra, Geometry, Trig, Calculus & Higher Level Thinking",
